"team","date","order","STATUS","SH_SITE_ID","SH_NAME","SH_DESC","SH_LATITUDE","SH_LONGITUDE","time_to_site","miles_to_site"
1,"9/15/2020",0,NA,"HOME",NA,NA,42.680982,-73.696676,NA,NA
1,"9/15/2020",1,"Long Term Trend","01-YUGA-3.9","Cayuga Creek","200 m below rt. 277 bridge.",42.88396,-78.75498,2,2
1,"9/15/2020",2,"Unassessed","01-SABO-0.2","Slate Bottom Creek","at sr 277 bridge.",42.8778,-78.75422,22,3
1,"9/15/2020",3,"Long Term Trend","01-BUFC-2.2","Buffalo Creek","40 m below rt. 277 bridge at usgs gaging station.",42.85474,-78.75507,25,3
1,"9/15/2020",4,"Long Term Trend","01-CAZE-1.6","Cazenovia Creek","80 m below parkside dr. bridge.",42.84589,-78.80645,39,3
1,"9/15/2020",8,NA,"HOME_for_the_day",NA,NA,NA,NA,NA,NA
1,"9/16/2020",0,NA,"HOME",NA,NA,42.680982,-73.696676,NA,NA
1,"9/16/2020",1,"Long Term Trend/department interest","01-MANS-4.0","Mansfield Creek","Upstream of Toad Hollow Rd bridge. Downstream of salt influence.",42.33858073,-78.75722873,8,3
1,"9/16/2020",2,"WAVE","01-MANS-5.4","Mansfield Creek","DS of Maples Rd. bridge. Upstream of salt influence.",42.33140673,-78.73568773,18,3
1,"9/16/2020",3,"Long Term Trend/department interest","01-MANS-0.8","Mansfield Creek","100 m above scotts corners rd. bridge.",42.35545,-78.79346,30,3
1,"9/16/2020",4,"Probabilistic","01-SILV_T8_1_1-1.0","Unnamed Trib to Silver Creek","off Mosher Rd.",42.44930573,-79.04752373,42,3
1,"9/16/2020",5,"Reference","01-CWAY-14.5","Canadaway Creek","cr 312.",42.3672,-79.23686,50,3
1,"9/16/2020",6,"Reference","01-CWAY-8.3","Canadaway Creek","50 m above shumla rd. bridge.",42.39059,-79.30079,56,3
1,"9/16/2020",7,"Long Term Trend","01-CWAY-7.4","Canadaway Creek","10 m upstream of spoden rd. bridge.",42.40326,-79.30453,60,3
1,"9/16/2020",8,NA,"HOME_for_the_day",NA,NA,NA,NA,NA,NA
1,"9/17/2020",0,NA,"HOME",NA,NA,42.680982,-73.696676,NA,NA
1,"9/17/2020",1,"Long Term Trend","01-ELLI-10.3","Ellicott Creek","80 m below sheridan dr. (rt. 324) bridge.",42.9788,-78.764,1,1
1,"9/17/2020",2,"WAVE","01-WCAN_T5-1.8","Unnamed Tributary To Western Barge Canal","schoelles rd.",43.0519,-78.7516,16,3
1,"9/17/2020",3,"Long Term Trend","01-TONA-19.6","Tonawanda Creek","300 m below rapids rd. bridge.",43.09333,-78.63639,26,3
1,"9/17/2020",4,"Unassessed","01-TONA_T10-0.1","Unnamed Tributary To Tonawanda Creek","kelkenberg rd.",43.072778,-78.586294,45,3
1,"9/17/2020",8,NA,"HOME_for_the_day",NA,NA,NA,NA,NA,NA
2,"9/15/2020",0,NA,"HOME",NA,NA,42.680982,-73.696676,NA,NA
2,"9/15/2020",1,"Long Term Trend/Unassessed / Needs Verification","01-YUGA-12.3","Cayuga Creek","at bowen rd.",42.88967,-78.64347,3,3
2,"9/15/2020",2,"department interest","01-LBUF-2.5","Little Buffalo Creek","Williams St bridge.  Sample as low gradient and only if LG habitat present.",42.88139973,-78.60979673,19,3
2,"9/15/2020",3,"Probabilistic","01-YUGA-26.0","Cayuga Creek","downstream of Folsomdale Rd.",42.82723773,-78.45003373,27,3
2,"9/15/2020",4,"department interest","01-HUNE-5.1","Hunter Creek","Warner Hill Rd/rt 390 bridge.  Sample as low gradient and only if LG habitat present",42.72220073,-78.54140673,44,3
2,"9/15/2020",5,"Probabilistic","01-CAZE_E_T9-1.5","Unnamed Trib to East Branch Cazenovia Creek","off Centerline Rd.",42.73498573,-78.57163373,53,3
2,"9/15/2020",10,NA,"HOME_for_the_day",NA,NA,NA,NA,NA,NA
2,"9/16/2020",0,NA,"HOME",NA,NA,42.680982,-73.696676,NA,NA
2,"9/16/2020",1,"Unassessed","01-BLAS-0.1","Blasdell Creek","50 m upstream of lake erie; woodlawn beach state park.",42.79824,-78.85486,10,3
2,"9/16/2020",2,"Unassessed","01-CLAR_N-0.1","North Branch Clear Creek","sisson hwy.",42.567116,-78.846825,21,3
2,"9/16/2020",3,"department interest","01-CLAR_N-7.4","North Branch Clear Creek","marshfield rd. bridge.",42.54389,-78.85306,34,3
2,"9/16/2020",4,"Long Term Trend","01-CATT-17.5","Cattaraugus Creek","100 m above rt. 39 (main st.) bridge.",42.46261,-78.93383,38,3
2,"9/16/2020",5,"Probabilistic","01-CLAR-18.5","Clear Creek","off rt 39",42.49466373,-78.82008473,52,3
2,"9/16/2020",6,"Probabilistic","01-CONN-2.5","Connoisarauley Creek","west connoisarauley rd. at old bridge location.",42.45,-78.73,57,3
2,"9/16/2020",7,"Reference","01-SPOO-0.3","Spooner Creek","45 m above zoar valley rd. bridge.",42.48855,-78.72168,61,3
2,"9/16/2020",8,"Probabilistic","01-TEEN-24.2","Eighteenmile Creek","190 m southwest off sr 391.",42.6,-78.72,66,3
2,"9/16/2020",9,"Unassessed","01-PIPC-0.1","Pipe Creek","sr 240 bridge; 80 m above confluence w/w. br cazenovia ck.",42.69424,-78.68668,69,3
2,"9/16/2020",10,NA,"HOME_for_the_day",NA,NA,NA,NA,NA,NA
2,"9/17/2020",0,NA,"HOME",NA,NA,42.680982,-73.696676,NA,NA
2,"9/17/2020",1,"PWL/WAVE","01-TWOM-0.4","Twomile Creek","5 m below fletcher rd. bridge.",43.0049,-78.9058,7,3
