"miles","time.65.mins","STATUS","SH_SITE_ID","SH_DESC","SH_LATITUDE","SH_LONGITUDE","team","date","order","hike","location","total_num_sites"
0,0,NA,"HOME",NA,42.680982,-73.696676,1,2020-07-14,0,NA,"42.680982 , -73.696676",7
43,47,"Long Term Trend","12-CAYA-4.7","40 m above Rt. 334 bridge, 1.9 mi. below STP",42.98667,-74.43027,1,2020-07-14,1,"","42.98667 , -74.43027",7
5,6,"Unassessed","12-SPIT-2.3","hart rd.",43.022427,-74.507897,1,2020-07-14,2,"","43.022427 , -74.507897",7
9,9,"Probabilistic","12-CAYA-15.4","5 m above West State St. Ext. bridge",43.06778,-74.35806,1,2020-07-14,3,"","43.06778 , -74.35806",7
4,4,"Long Term Trend","12-MATT-0.4","20 m below O'Neil Rd.culverts",43.02028,-74.37527,1,2020-07-14,4,"","43.02028 , -74.37527",7
12,13,"Long Term Trend/department interest","12-SCHU-5.3","30 upstream of Dunlap Rd bridge. Upstream of salt pile influence.",42.889896,-74.219497,1,2020-07-14,5,"","42.889896 , -74.219497",7
1,1,"Long Term Trend/department interest","12-SCHU-4.8","Behind Florida Town Court on Ft Hunter Rd. DS of salt pile influence. Alternate location behind residence at 6124 Rt 30 (knock for persmission); 42.8929, -74.2213.",42.893463,-74.224261,1,2020-07-14,6,"","42.893463 , -74.224261",7
0,0,NA,"HOME",NA,42.680982,-73.696676,1,2020-07-15,0,NA,"42.680982 , -73.696676",6
92,100,"Probabilistic","12-DRCK-3.4","off Camroden Rd.",43.239825,-75.342237,1,2020-07-15,1,"","43.239825 , -75.342237",6
7,8,"Long Term Trend","12-MOHK-136.0","150 yds. above River Rd. bridge",43.33944,-75.36583,1,2020-07-15,2,"","43.33944 , -75.36583",6
1,1,"Reference","12-STRI-0.3","15 m below rte 46 bridge.",43.34639,-75.36833,1,2020-07-15,3,"","43.34639 , -75.36833",6
4,5,"Reference","12-STRI-4.5","825 ft south off crill rd.",43.379,-75.309,1,2020-07-15,4,"","43.379 , -75.309",6
11,11,"Reference","12-LYMA-3.8","west ava rd. bridge.",43.41695,-75.50368,1,2020-07-15,5,"","43.41695 , -75.50368",6
0,0,NA,"HOME",NA,42.680982,-73.696676,1,2020-07-16,0,NA,"42.680982 , -73.696676",8
69,75,"department interest","12-STBR-1.0","at Jerseyfield rd. Low Gradient. 1.5 sq mi drainage. Backup site to 12-BLCR-19.3.",43.278951,-74.774874,1,2020-07-16,2,"","43.278951 , -74.774874",8
