"miles","time.65.mins","STATUS","SH_SITE_ID","SH_NAME","SH_DESC","SH_LATITUDE","SH_LONGITUDE","team","date","order","hike","location","total_num_sites","time.hrs"
0,0,NA,"HOME",NA,NA,42.680982,-73.696676,1,2020-08-18,0,NA,"42.680982 , -73.696676",6,0
163,195,"department interest","03-WOLC-4.0","Wolcott Creek","off cemetery st; short walk.",43.22166,-76.8129,1,2020-08-18,1,"","43.22166 , -76.8129",6,3.243
5,6,"Reference","03-LTLC-1.0","Little Creek","Church St",43.2840004,-76.7809982,1,2020-08-18,2,"","43.2840004 , -76.7809982",6,0.092
2,2,"department interest","03-REDR-2.6","Red Creek","Younglove Rd. Bridge  Just downstream",43.3,-76.77,1,2020-08-18,3,"","43.3 , -76.77",6,0.025
3,4,"Unassessed","03-BLSC-1.7","Blind Sodus Creek","crossing on King Rd.",43.31565,-76.723458,1,2020-08-18,4,"","43.31565 , -76.723458",6,0.052
1,2,"department interest","03-LONT_T74_1-0.1","Voights Creek","s fancher st bridge; may be dry.",43.31506,-76.70656,1,2020-08-18,5,"","43.31506 , -76.70656",6,0.017
0,0,NA,"HOME",NA,NA,43.46204,-76.48994,1,2020-08-19,0,NA,"43.46204 , -76.48994",8,0
22,27,"Probabilistic","03-MUDC-0.6","Mud Creek","downstream of Weaver Rd 0.3 miles",43.6680717,-76.1557693,1,2020-08-19,1,"","43.6680717 , -76.1557693",8,0.44
5,5,"Probabilistic","03-LIND-6.8","Lindsey Creek","downstream sand rd bridge",43.6811676,-76.0763779,1,2020-08-19,2,"","43.6811676 , -76.0763779",8,0.081
3,3,"Unassessed","03-SKIN_T5-0.2","Unnamed Tributary To Skinner Creek","downstream of the cr 90 bridge crossing.",43.71098,-76.05319,1,2020-08-19,3,"","43.71098 , -76.05319",8,0.047
2,2,"Reference","03-SKIN_T4-2.6","Trib to Skinner Creek","Van Wormer Rd",43.6987,-76.0288773,1,2020-08-19,4,"","43.6987 , -76.0288773",8,0.03
4,5,"Reference","03-BARA-11.5","Bear Creek","Brown Rd",43.7360687,-75.972641,1,2020-08-19,5,"","43.7360687 , -75.972641",8,0.076
1,2,"Probabilistic","03-RAYS-5.0","Raystone Creek","downstream of cr92 intersection with brown rd and sharp rd.",43.7490692,-75.9646988,1,2020-08-19,6,"","43.7490692 , -75.9646988",8,0.02
