STATUS,Justification,Requested By,PWL_Assess_Date,SITE_HISTORY_PK,SH_SITE_ID,SH_BASIN,SH_LOCATION,SH_RIVMILE,SH_DESC,SH_CITY_TOWN,CALC_LAT,CALC_LONG,SH_LATITUDE,SH_LONGITUDE,SH_COUNTY,SH_FIPS_CDE,SH_NAME,SH_HUC_8,SH_NHD_REACHCODE,SH_NHD_M_VALUE,SH_WQ_STANDARD,SH_DEC_REGION,SH_PWL_ID,SH_WIN,SH_HABITAT_TYPE,SH_SITE_CONDITION,SH_DRAINAGE,SH_NED10_ELEV,team,date,order,ObjectId,hike,x,y
department interest,"(NOTE: Moved site downstream to get away from lentic influence) The bridge on Mill Street  was recently enhanced, and the community identified concerns about sediment build up in Mill Pond. I think it would be beneficial for community decision making to have the pond and creek sampled. ",emily.sheridan@dec.ny.gov,,,03-WOLC-4.0,3,WOLC,4,off cemetery st; short walk.,Wolcott,43.225258,-76.81131,43.22166,-76.8129,Wayne,,Wolcott Creek,4140101,,,,,0302-0013,Ont  80/P89- 1,,,,,1,"8/18/2020, 6:00 AM",1,71,,-8550772.914,5345771.849
Reference,,,,,03-LTLC-1.0,3,LTLC,1,Church St,Wolcott,43.2840004,-76.7809982,43.2840004,-76.7809982,Wayne,117,Little Creek,4140101,,,,,0302-0014,Ont  78,,,,,1,"8/18/2020, 6:00 AM",2,15,,-8547221.622,5355299.995
department interest,"Determine impacts from farms, WWTP, and upstream runoff. ",emily.sheridan@dec.ny.gov,,,03-REDR-2.6,3,REDR,2.6,Younglove Rd. Bridge  Just downstream,Wolcott,43.29694,-76.769173,43.3,-76.77,Wayne,,Red Creek,4140101,,,,,0302-0014,Ont  78,,,,,1,"8/18/2020, 6:00 AM",3,69,,-8545997.308,5357746.958
Unassessed,Unassessed,,,,03-BLSC-1.7,3,BLSC,1.7,crossing on King Rd.,Wolcott,43.315651,-76.723457,43.31565,-76.723458,Wayne,,Blind Sodus Creek,4140101,,,C,,0302-0059,Ont  75/P77 ..,,,,,1,"8/18/2020, 6:00 AM",4,51,,-8540816.276,5360141.077
department interest,"Determine impacts from farms, WWTP, and upstream runoff. ",emily.sheridan@dec.ny.gov,,,03-LONT_T74_1-0.1,3,LONT_T74_1,0.1,s fancher st bridge; may be dry.,Sterling,43.314621,-76.705162,43.31506,-76.70656,Cayuga,,Voights Creek,4140101,,,,,0302-0052,Ont  71a thru 79 (selected),,,,,1,"8/18/2020, 6:00 AM",5,68,,-8538935.2,5360050.808
Probabilistic,,,,,03-MUDC-0.6,3,MUDC,0.6,downstream of Weaver Rd 0.3 miles,Sandy Creek,43.668072,-76.155769,43.6680717,-76.1557693,Oswego,,Mud Creek,4140102,,,,,0303-0063,Ont  48,,,,,1,"8/19/2020, 6:00 AM",1,31,,-8477621.459,5414218.38
Probabilistic,,,,,03-LIND-6.8,3,LIND,6.8,downstream sand rd bridge,Ellisburg,43.681168,-76.076378,43.6811676,-76.0763779,Jefferson,,Lindsey Creek,4140102,,,,,0303-0063,Ont  48,,,,,1,"8/19/2020, 6:00 AM",2,22,,-8468783.649,5416233.98
Unassessed,Unassessed,,,,03-SKIN_T5-0.2,3,SKIN_T5,0.2,downstream of the cr 90 bridge crossing.,Ellisburg,43.71098,-76.053192,43.71098,-76.05319,Jefferson,45,Unnamed Tributary To Skinner Creek,4140102,,,A,,0303-0061,Ont  47,High gradient- hard bottom,,,,1,"8/19/2020, 6:00 AM",3,48,,-8466202.384,5420824.069
Reference,,,,,03-SKIN_T4-2.6,3,SKIN_T4,2.6,Van Wormer Rd,Ellisburg,43.6987,-76.0288773,43.6987,-76.0288773,Jefferson,45,Trib to Skinner Creek,4140102,,,,,0303-0061,Ont  47,,,,,1,"8/19/2020, 6:00 AM",4,20,,-8463495.907,5418933.093
Reference,,,,,03-BARA-11.5,3,BARA,11.5,Brown Rd,Lorraine,43.7360687,-75.972641,43.7360687,-75.972641,Jefferson,45,Bear Creek,4140102,,,,,0303-0055,Ont  45- 4,,,,,1,"8/19/2020, 6:00 AM",5,16,,-8457235.71,5424688.64
Probabilistic,,Raystone Creek,,,03-RAYS-5.0,3,RAYS,5,downstream of cr92 intersection with brown rd and sharp rd.,Lorraine,43.749069,-75.964699,43.7490692,-75.9646988,Jefferson,,Raystone Creek,4140102,,,,,0303-0056,Ont  45- 9,,,,,1,"8/19/2020, 6:00 AM",6,26,,-8456351.589,5426691.826
Reference,,,,,03-RAYS-9.1,3,RAYS,9.1,CR 95,Lorraine,43.713501,-75.9155502,43.713501,-75.9155502,Jefferson,45,Raystone Creek,4140102,,,,,0303-0056,Ont  45- 9,,,,,1,"8/19/2020, 6:00 AM",7,18,,-8450880.392,5421212.322
Unassessed,Unassessed,,,,03-HRTB-2.2,3,HRTB,2.2,us 11.,Adams,43.838249,-76.015457,43.83825,-76.015454,Jefferson,45,Hart Brook,4140102,,,A,6,0303-0083,Ont  54- 2,,,,,1,"8/20/2020, 6:00 AM",1,47,,-8462001.632,5440445.023
Long Term Trend,,,,,03-CHMO-11.4,3,CHMO,11.4,Zang Rd. bridge,Clayton,44.1749992,-76.0155563,44.1749992,-76.0155563,Jefferson,45,Chaumont River,4150102,,,,,0303-0037,Ont   8,,,,,1,"8/20/2020, 6:00 AM",2,9,,-8462013.02,5492563.772
Long Term Trend/department interest,WQIP salt shed,,,,03-HOCR-0.1,3,HOCR,0.1,E Main st. bridge. downstream of salt pile.,Lyme,44.0659409,-76.1284103,44.0659409,-76.1284103,Jefferson,,Horse Creek,4150102,,,,,0303-0038,Ont   9,,,,,1,"8/20/2020, 6:00 AM",3,44,,-8474575.869,5475652.367
Long Term Trend/department interest,WQIP salt shed,,,,03-HOCR-0.5,3,HOCR,0.5,1000 ft DS of Morris Tract Rd. Alt locations at Morris T. Rd or US of salt pile.,Lyme,44.0684776,-76.1242752,44.0684776,-76.1242752,Jefferson,,Horse Creek,4150102,,,,,0302-0028,Ont 101 thru 106,,,,,1,"8/20/2020, 6:00 AM",4,43,,-8474115.552,5476045.372
department interest,"Collect information on nutrient, sediment, etc.  inputs which could affect spawning habitat for native species such as Cisco and Lake Whitefish in Chaumont Bay.",nicole.saavedra@dec.ny.gov,,,03-CHMO-6.2,3,CHMO,6.2,upstream caroline st.,Clayton,44.139534,-76.067711,44.139534,-76.067711,Jefferson,,Chaumont River,4150102,,,,,0303-0010,Ont   8,,,,,1,"8/20/2020, 6:00 AM",5,63,,-8467818.854,5487060.844
Long Term Trend,,,,,03-HRSE-1.0,,,,try to fit in if possible,,44.0662689,-76.1283035,44.0662689,-76.1283035,,,,,,,,,,,,,,,1,"8/20/2020, 6:00 AM",6,,,,
Probabilistic/dept interest,Low gradient,,,,03-REDR-15.1,3,REDR,15.1,upstream bacon rd bridge. possibly low gradient.,Victory,43.184383,-76.708267,43.1843834,-76.7082672,Cayuga,,Red Creek,4140101,,,,,0302-0014,Ont  78,,,,,2,"8/18/2020, 6:00 AM",1,24,,-8539125.244,5340079.124
