,STATUS,Justification,Requested.By,PWL_Assess_Date,SITE_HISTORY_PK,SH_SITE_ID,SH_DESC,SH_CITY_TOWN,SH_LATITUDE,SH_LONGITUDE,SH_COUNTY,SH_FIPS_CDE,SH_NAME,SH_PWL_ID,SH_WIN,ObjectId,team,order,date,hike,x,y
1,#N/A,NA,NA,NA,NA,HOME,#N/A,NA,42.680982,-73.696676,NA,NA,NA,NA,NA,NA,1,0,9/15/2020,,NA,NA
2,Long Term Trend,,,,NA,01-YUGA-3.9,200 m below rt. 277 bridge.,Cheektowaga,42.88396,-78.75498,Erie,29,Cayuga Creek,0103-0007,E-1-6,13,1,1,9/15/2020,,-8766964.271,5294326.021
3,Unassessed,Unassessed,,,NA,01-SABO-0.2,at sr 277 bridge.,Cheektowaga,42.8778,-78.75422,Erie,13,Slate Bottom Creek,0103-0018,E-1-6-2,59,1,2,9/15/2020,,-8766879.668,5293390.219
4,Long Term Trend,,,,NA,01-BUFC-2.2,40 m below rt. 277 bridge at usgs gaging station.,West Seneca,42.85474,-78.75507,Erie,29,Buffalo Creek,0103-0003,E-1,2,1,3,9/15/2020,,-8766974.29,5289887.865
5,Long Term Trend,,,,NA,01-CAZE-1.6,80 m below parkside dr. bridge.,Buffalo,42.84589,-78.80645,Erie,29,Cazenovia Creek,0103-0009,E-1-4,5,1,4,9/15/2020,,-8772693.885,5288544.074
6,#N/A,NA,NA,NA,NA,HOME,#N/A,NA,42.907376,-78.772765,NA,NA,NA,NA,NA,NA,1,0,9/16/2020,,NA,NA
7,Long Term Trend/department interest,WQIP salt shed (upstream),,,NA,01-MANS-4.0,Upstream of Toad Hollow Rd bridge. Downstream of salt influence.,Mansfield,42.33858073,-78.75722873,Cattaraugus,NA,Mansfield Creek,0104-0059,Ont 158..E-23-20-11,42,1,1,9/16/2020,,-8767214.599,5211832.903
8,Long Term Trend/department interest,id'd through WAVE-NEW; downstream sampled in 2005; 4.29 BAP,,,NA,01-MANS-5.4,DS of Maples Rd. bridge. Upstream of salt influence.,Mansfield,42.33140673,-78.73568773,Cattaraugus,NA,Mansfield Creek,0104-0059,Ont 158..E-23-20-11,41,1,2,9/16/2020,,-8764816.665,5210752.566
9,department interest,WQIP salt shed (downstream)/possible low gradient,,,NA,01-MANS-0.8,100 m above scotts corners rd. bridge. Sample as low gradient and only if LG habitat present.,Otto,42.35545,-78.79346,Cattaraugus,NA,Mansfield Creek,0104-0059,E-23-20-11,43,1,3,9/16/2020,,-8771247.845,5214373.74
10,Probabilistic,,,,NA,01-SILV_T8_1_1-1.0,off Mosher Rd.,Perrysburg,42.44930573,-79.04752373,Cattaraugus,NA,Unnamed Trib to Silver Creek,0105-0012,Ont 158..E-25,33,1,4,9/16/2020,yes,-8799530.09,5228522.695
11,Reference,,,,NA,01-CWAY-14.5,cr 312.,Arkwright,42.3672,-79.23686,Chautauqua,13,Canadaway Creek,0105-0020,Ont 158..E-37,16,1,5,9/16/2020,,-8820606.907,5216143.92
12,Reference,,,,NA,01-CWAY-8.3,50 m above shumla rd. bridge.,Pomfret,42.39059,-79.30079,Chautauqua,13,Canadaway Creek,0105-0020,E-37,19,1,6,9/16/2020,,-8827723.562,5219668.693
