RAS_Name,Survey_Name,New site,EPA ID,STATUS,SH_SITE_ID,SH_BASIN,SH_LOCATION,SH_RIVMILE,SH_OLD_SITE_ID,SH_PREV_NAME,SH_STATION,SH_OLD_RIBS_ID,SH_DESC,SH_CITY_TOWN,SH_LATITUDE,SH_LONGITUDE,SH_COUNTY,SH_FIPS_CDE,SH_NAME,Drive_time,team,date,order,ObjectId,Distance from Home Base,shipping location,total trip time,hike,x,y
,,,,department interest,12-DWAS-7.2,11,new,,,,,,ds of 146,,42.86999,-73.81741,,,Dwaas Kill,2,2,"7/14/2020, 6:00 AM",2,55,30,,,,-8217316.493,5292203.889
,,Y, ,department interest,12-BLCR-19.3,12,,,,, ,,at Jerseyfield rd. Low Gradient. 3.8 sq mi drainage.,,43.26541,-74.778108, ,,Black Creek,,1,"7/16/2020, 6:00 AM",4,73,,,,,-8324260.905,5352457.606
,,Y, ,department interest,12-HLVY-0.5,12,,,,, ,,at Jerseyfield rd. Low Gradient. 0.7 sq mi drainage. 2nd backup site to 12-BLCR-19.3.,,43.270874,-74.7779, ,,Hall Vly,,1,"7/16/2020, 6:00 AM",3,74,,,,,-8324237.751,5353292.937
,,Y, ,department interest,12-STBR-1.0,12,,,,, ,,at Jerseyfield rd. Low Gradient. 1.5 sq mi drainage. Backup site to 12-BLCR-19.3.,,43.278951,-74.774874, ,,Stony Brook,,1,"7/16/2020, 6:00 AM",2,75,,,,,-8323900.898,5354527.878
SCREENING,RIBS_Scr,N,,Long Term Trend,12-ALPL-16.1,12,ALPL,16.1,1,,,,Below Route 67,,42.9745,-74.0199,SARATOGA,91,Alplaus Kill,2,4,"7/14/2020, 6:00 AM",3,1,30,,,,-8239857.577,5308091.292
SCREENING,RIBS_Scr,N,,Long Term Trend,12-BRIM-0.5,12,BRIM,3,,,,,West Ames Rd. bridge,,42.83972,-74.61,MONTGOMERY,57,Brimstone Creek,2.5,3,"7/14/2020, 6:00 AM",5,3,60,,,,-8305547.208,5287607.33
SCREENING,RIBS_Scr,N,,Long Term Trend,12-CAJO-5.1,12,CAJO,4,,,,,40 m above McEwan Rd. bridge,,42.87611,-74.60333,MONTGOMERY,57,Canajoharie Creek,2.5,3,"7/14/2020, 6:00 AM",4,4,60,,,,-8304804.707,5293133.497
SCREENING,RIBS_Scr,N,,Long Term Trend,12-CAYA-4.7,12,CAYA,2,,,,,"40 m above Rt. 334 bridge, 1.9 mi. below STP",,42.98667,-74.43027,FULTON,35,Cayadutta Creek,2.5,1,"7/14/2020, 6:00 AM",1,5,60,,,,-8285539.756,5309943.105
SCREENING,RIBS_Scr,N,,Long Term Trend,12-CANE-0.5,12,CANE,5,,,,,20 m above Rt. 5 bridge,,43.00583,-74.74167,HERKIMER,43,East Canada Creek,5.5,3,"7/14/2020, 6:00 AM",2,6,60,,,,-8320204.645,5312859.274
SCREENING,RIBS_Scr,N,,Long Term Trend,12-MATT-0.4,12,MATT,1,,,,,20 m below O'Neil Rd.culverts,,43.02028,-74.37527,FULTON,35,Matthew Creek,2.5,1,"7/14/2020, 6:00 AM",4,7,60,,,,-8279417.184,5315059.179
SCREENING,RIBS_Scr,N,,Long Term Trend,12-POEN-1.9,12,POEN,2,,,,,Campbell Rd.; 250 m above culverts opp. BJs/OffMax,,42.8075,-73.99333,SCHENECTADY,93,Poentic Kill,2,2,"7/14/2020, 6:00 AM",3,10,30,,,,-8236899.818,5282717.133
SCREENING,RIBS_Scr,N,,Long Term Trend,12-MOHK-136.0,12,MOHK,A,,,,,150 yds. above River Rd. bridge,,43.33944,-75.36583,ONEIDA,65,Mohawk River,5,1,"7/15/2020, 6:00 AM",2,8,100,,,,-8389685.819,5363781.624
SCREENING,RIBS_Scr,N,,Long Term Trend,12-ORSK-0.9,12,ORSK,6,,,,,30 m below Utica St. bridge,,43.15556,-75.33167,ONEIDA,65,Oriskany Creek,5,4,"7/15/2020, 6:00 AM",2,9,100,,,,-8385883.145,5335679.719
SCREENING,RIBS_Scr,N,,Long Term Trend,12-SAUQ-1.7,12,SAUQ,6,,,,,end of Greenman Ave; Farm & Family Ctr.parking lot,,43.11306,-75.29444,ONEIDA,65,Sauquoit Creek,5,3,"7/15/2020, 6:00 AM",5,11,100,,,,-8381738.72,5329196.595
SCREENING,RIBS_Scr,N,,Long Term Trend,12-SIXM-1.6,12,SIXM,1,,,,,60 m below Rickmyer Rd. bridge,,43.21139,-75.3825,ONEIDA,65,Six Mile Creek,5,4,"7/15/2020, 6:00 AM",3,12,100,,,,-8391541.515,5344203.111
SCREENING,RIBS_Scr,N,,Long Term Trend,12-CANW-20.3,12,CANW,4,,,,,Above Rte 200 bridge,,43.21868,-75.0576,HERKIMER,43,West Canada Creek,5,3,"7/15/2020, 6:00 AM",3,13,80,,,,-8355373.812,5345316.628
SCREENING,RIBS_Scr,N,,Long Term Trend,12-MOHK-124.0,12,MOHK,1,,,,,50 m below Floyd Ave. bridge,,43.21778,-75.43166,ONEIDA,65,Mohawk River,5,4,"7/15/2020, 6:00 AM",4,15,100,,,,-8397013.981,5345179.15
