Trip Name,Site_ID,NAME,Description,Survey,Latitude,Longitude,Frequency,Type,NOTES
FINGER LAKES 9E Tributaries,07-SUKE-0.3,Sucker Brook,Western Boulevard ,Finger Lakes RAS,42.87800,-77.27800,"6 (5b, 1e)",low gradient,HUB
FINGER LAKES 9E Tributaries,07-NAPL-2.9,Naples Creek,SR 245,Finger Lakes RAS,42.62600,-77.39000,"6 (5b, 1e)",kick ,HUB
FINGER LAKES 9E Tributaries,07-WEST-7.3,West River,Williams St.,Finger Lakes RAS,42.70500,-77.27600,"6 (5b, 1e)",kick ,HUB
FINGER LAKES 9E Tributaries,07-FALC-0.3,Fall Brook,SR 364,Finger Lakes RAS,42.87100,-77.25100,"6 (5b, 1e)",kick ,HUB
FINGER LAKES 9E Tributaries,07-SGAR-2.5,Sugar Creek,County House Rd.,Finger Lakes RAS,42.62800,-77.15900,"6 (5b, 1e)",kick ,HUB
FINGER LAKES 9E Tributaries,07-KUKA-2.4,Keuka Inlet,100 m below CR 8,Finger Lakes RAS,42.39600,-77.25600,"6 (5b, 1e)",kick ,HUB
FINGER LAKES 9E Tributaries,07-EGGL-0.2,Eggleston Glen,SR 54,Finger Lakes RAS,42.51400,-77.10400,"6 (5b, 1e)",kick,HUB
FINGER LAKES 9E Tributaries,07-WAGG-0.1,Wagener  Glen,West Lake Rd.,Finger Lakes RAS,42.53100,-77.15300,"6 (5b, 1e)",kick,HUB
BLACK LAKE TRIBS,09-HAMM-1.9,Hammond Brook,"At CR 6 bridge/culvert, rest of stream to lake appears quite swampy.",Black Lake Tribs,44.45390,-75.67880,4,chem only,
BLACK LAKE TRIBS,09-BLAH-4.2,Black Creek (alternative),At CR 3,Black Lake Tribs,44.42056,-75.69417,4,chem only,
BLACK LAKE TRIBS,09-INDN-2.0,Indian River (alternative),"at old mill site on CR 8, above Brasie Corners-Rossie Rd bridge",Black Lake Tribs,44.37917,-75.65528,4,chem only,
BLACK LAKE TRIBS,09-FSCR-1.0,Fish Creek (alternative),SR 58 bridge,Black Lake Tribs,44.48086,-75.58247,4,chem only,
BLACK LAKE TRIBS,09-GRAC-0.8,Grass Creek,at CR 3 ,Black Lake Tribs,44.39646,-75.66673,4,chem only,
ONEIDA LAKE TRIBS,07-FSHO-2.3,Fish Creek,"Higginsville rd, kemmerer sample from bridge",Oneida RAS,43.22289,-75.69930,4,kick,HUB
ONEIDA LAKE TRIBS,07-ONEI-2.2,Oneida Creek,rt 31 bridge access from west and south. Probably not wadable,Oneida RAS,43.15427,-75.71816,4,kick,HUB
ONEIDA LAKE TRIBS,07-SRAG-0.1,Canaseraga Creek,"upstream of Lake Rd, access by boat from Briggs Bay DEC launch",Oneida RAS,43.14528,-75.86412,4,kick,HUB
ONEIDA LAKE TRIBS,07-CHIT-3.4,Chittenango Creek, At 31 bridge,Oneida RAS,43.15500,-75.97166,4,kick,HUB
ONEIDA LAKE TRIBS,07-SCRB-0.1,Scriba Creek,"near fish hatchery upstream, park at hatchery",Oneida RAS,43.24841,-75.99866,4,kick,HUB
PATROONS CREEK,13-PATS-1.8,Patroon Creek,"upstream of daylighting, at railroad crossing",Patroon Creek Daylighting,42.67266,-73.76461,1,kick,
PATROONS CREEK,13-PATS-1.7,Patroon Creek,Daylighted portion,Patroon Creek Daylighting,42.67198,-73.76367,1,kick,
PATROONS CREEK,13-PATS-1.5,Patroon Creek,Daylighted portion,Patroon Creek Daylighting,42.67144,-73.76036,1,kick,
PATROONS CREEK,13-PATS-1.3,Patroon Creek,"just downstream of daylighting, before returning underground, between interstate and railway",Patroon Creek Daylighting,42.67174,-73.75699,1,kick,
PATROONS CREEK,13-PATS-0.5,Patroon Creek,"Downstream, biosite",Patroon Creek Daylighting,42.66444,-73.74667,1,kick,
