ups_address,lat,long,opens,closes,customer_care_center
"182 Union St., Allegany NY",42.08525973,-78.48266481,4:30:00 PM,5:30:00 PM,Yes
"2735 W State St, Olean, NY 14760",42.08397069,-78.4612507,9:00:00 AM,8:00:00 PM,No
"219 Brigham Rd, Dunkirk, NY 14048",42.55970654,-79.3151849,4:30:00 PM,5:30:00 PM,Yes
"45 Cross St, Falconer, NY 14733",42.21976915,-79.25125958,4:30:00 PM,5:30:00 PM,Yes
"4408 Milestrip Rd, Blasdell, NY 14219",42.81282043,-78.82209161,8:30:00 AM,7:00:00 PM,No
"3221 Southwestern Blvd, Orchard Park, NY 14127",42.8091251,-78.75157006,8:30:00 AM,7:00:00 PM,No
"1902 Ridge Rd, West Seneca, NY 14224",42.84976157,-78.77927495,8:30:00 AM,7:00:00 PM,No
"931 Bailey Ave, Buffalo, NY 14206",42.90051958,-78.80697985,9:00:00 AM,5:00:00 PM,Yes
"5165 Broadway, Depew, NY 14043",42.91804446,-78.68356713,8:30:00 AM,7:00:00 PM,No
"3843 Union Rd Ste 15, Cheektowaga, NY 14225",42.93279839,-78.75660731,8:30:00 AM,7:00:00 PM,No
"265 Cayuga Rd, Cheektowaga, NY 14225",42.95492267,-78.74905143,9:00:00 AM,6:00:00 PM,Yes
"3842 Harlem Rd, Cheektowaga, NY 14215",42.96598182,-78.78934946,9:00:00 AM,7:00:00 PM,No
"3380 Sheridan Dr, Amherst, NY 14226",43.0046732,-78.80572054,9:00:00 AM,8:00:00 PM,No
"708 Foote Ave, Jamestown, NY 14701",42.10575564,-79.23912463,9:00:00 AM,7:00:00 PM,No
"300 Liberty Commons, Geneva, NY 14456",42.95480078,-76.97333238,8:00:00 AM,6:00:00 PM,No
"407 College Ave, Ithaca, NY 14850",42.54335414,-76.48444079,8:00:00 AM,6:30:00 PM,No
"85 Denison Pkwy E, Corning, NY 14830",42.25940923,-77.07220934,8:00:00 AM,6:30:00 PM,No
"110 N Main St, Horseheads, NY 14845",42.27566926,-76.8030443,8:00:00 AM,6:30:00 PM,No
"6845 NY-434, Apalachin, NY 13732",42.15361678,-76.20428942,8:00:00 AM,6:30:00 PM,No
"2520 Vestal Pkwy E Ste 2, Vestal, NY 13850",42.20653515,-75.99554919,8:00:00 AM,6:30:00 PM,No
"1235 Upper, Front St Ste 5, Binghamton, NY 13905",42.23094407,-75.90765857,8:00:00 AM,6:30:00 PM,No
"144 Genesee St Ste 102, Auburn, NY 13021",43.00704377,-76.57233141,8:00:00 AM,6:00:00 PM,No
"14 N Franklin St, Cortland, NY 13045",42.71310409,-76.19330309,4:00:00 PM,5:00:00 PM,Yes
"8430 Oswego Rd, Liverpool, NY 13090",43.26759277,-76.28119372,8:00:00 AM,6:30:00 PM,No
"5701 Cir Dr E, Cicero, NY 13039",43.22758057,-76.13837145,8:00:00 AM,6:30:00 PM,No
"4736 Onondaga Blvd, Syracuse, NY 13219",43.151485,-76.21527575,8:00:00 AM,7:00:00 PM,No
"319 Nottingham Rd, Syracuse, NY 13210",43.11139659,-76.13287829,8:00:00 AM,6:30:00 PM,No
"4465 E Genesee St, Dewitt, NY 13214",43.06924784,-76.06829204,8:00:00 AM,6:30:00 PM,No
"201 W Genesee St, Fayetteville, NY 13066",43.07704469,-76.01492419,9:00:00 AM,7:30:00 PM,No
"131 W Seneca St Ste B, Manlius, NY 13104",43.04132458,-75.97445762,7:30:00 AM,6:00:00 PM,No
"410 Canal Pl, Little Falls, NY 13365",43.24732443,-74.75929749,8:00:00 AM,6:00:00 PM,No
